W_A,C_A,SM_A,SM_F,SM_C,SN_A,SN_F,SN_C,C,AlternativeID
10,10,10,2,1,30,2,3,3500,492
10,10,10,2,1,30,3,1,50,493
10,10,10,2,1,30,3,1,250,494
10,10,10,2,1,30,3,1,1250,495
10,10,10,2,1,30,3,1,3500,496
10,10,10,2,1,30,3,2,50,497
10,10,10,2,1,30,3,2,250,498
10,10,10,2,1,30,3,2,1250,499
10,10,10,2,1,30,3,2,3500,500
10,10,10,2,1,30,3,3,50,501
10,10,10,2,1,30,3,3,250,502
10,10,10,2,1,30,3,3,1250,503
10,10,10,2,1,30,3,3,3500,504
10,10,10,2,1,50,1,1,50,505
10,10,10,2,1,50,1,1,250,506
10,10,10,2,1,50,1,1,1250,507
10,10,10,2,1,50,1,1,3500,508
10,10,10,2,1,50,1,2,50,509
10,10,10,2,1,50,1,2,250,510
10,10,10,2,1,50,1,2,1250,511
10,10,10,2,1,50,1,2,3500,512
10,10,10,2,1,50,1,3,50,513
10,10,10,2,1,50,1,3,250,514
10,10,10,2,1,50,1,3,1250,515
10,10,10,2,1,50,1,3,3500,516
10,10,10,2,1,50,2,1,50,517
10,10,10,2,1,50,2,1,250,518
10,10,10,2,1,50,2,1,1250,519
10,10,10,2,1,50,2,1,3500,520
10,10,10,2,1,50,2,2,50,521
10,10,10,2,1,50,2,2,250,522
10,10,10,2,1,50,2,2,1250,523
10,10,10,2,1,50,2,2,3500,524
10,10,10,2,1,50,2,3,50,525
10,10,10,2,1,50,2,3,250,526
10,10,10,2,1,50,2,3,1250,527
10,10,10,2,1,50,2,3,3500,528
10,10,10,2,1,50,3,1,50,529
10,10,10,2,1,50,3,1,250,530
10,10,10,2,1,50,3,1,1250,531
10,10,10,2,1,50,3,1,3500,532
10,10,10,2,1,50,3,2,50,533
10,10,10,2,1,50,3,2,250,534
10,10,10,2,1,50,3,2,1250,535
10,10,10,2,1,50,3,2,3500,536
10,10,10,2,1,50,3,3,50,537
10,10,10,2,1,50,3,3,250,538
10,10,10,2,1,50,3,3,1250,539
10,10,10,2,1,50,3,3,3500,540
10,10,10,2,1,80,1,1,50,541
10,10,10,2,1,80,1,1,250,542
10,10,10,2,1,80,1,1,1250,543
10,10,10,2,1,80,1,1,3500,544
10,10,10,2,1,80,1,2,50,545
10,10,10,2,1,80,1,2,250,546
10,10,10,2,1,80,1,2,1250,547
10,10,10,2,1,80,1,2,3500,548
10,10,10,2,1,80,1,3,50,549
10,10,10,2,1,80,1,3,250,550
10,10,10,2,1,80,1,3,1250,551
10,10,10,2,1,80,1,3,3500,552
10,10,10,2,1,80,2,1,50,553
10,10,10,2,1,80,2,1,250,554
10,10,10,2,1,80,2,1,1250,555
10,10,10,2,1,80,2,1,3500,556
10,10,10,2,1,80,2,2,50,557
10,10,10,2,1,80,2,2,250,558
10,10,10,2,1,80,2,2,1250,559
10,10,10,2,1,80,2,2,3500,560
10,10,10,2,1,80,2,3,50,561
10,10,10,2,1,80,2,3,250,562
10,10,10,2,1,80,2,3,1250,563
10,10,10,2,1,80,2,3,3500,564
10,10,10,2,1,80,3,1,50,565
10,10,10,2,1,80,3,1,250,566
10,10,10,2,1,80,3,1,1250,567
10,10,10,2,1,80,3,1,3500,568
10,10,10,2,1,80,3,2,50,569
10,10,10,2,1,80,3,2,250,570
10,10,10,2,1,80,3,2,1250,571
10,10,10,2,1,80,3,2,3500,572
10,10,10,2,1,80,3,3,50,573
10,10,10,2,1,80,3,3,250,574
10,10,10,2,1,80,3,3,1250,575
10,10,10,2,1,80,3,3,3500,576
10,10,10,2,2,10,1,1,50,577
10,10,10,2,2,10,1,1,250,578
10,10,10,2,2,10,1,1,1250,579
10,10,10,2,2,10,1,1,3500,580
10,10,10,2,2,10,1,2,50,581
10,10,10,2,2,10,1,2,250,582
10,10,10,2,2,10,1,2,1250,583
10,10,10,2,2,10,1,2,3500,584
10,10,10,2,2,10,1,3,50,585
10,10,10,2,2,10,1,3,250,586
10,10,10,2,2,10,1,3,1250,587
10,10,10,2,2,10,1,3,3500,588
10,10,10,2,2,10,2,1,50,589
10,10,10,2,2,10,2,1,250,590
10,10,10,2,2,10,2,1,1250,591
10,10,10,2,2,10,2,1,3500,592
10,10,10,2,2,10,2,2,50,593
10,10,10,2,2,10,2,2,250,594
10,10,10,2,2,10,2,2,1250,595
10,10,10,2,2,10,2,2,3500,596
10,10,10,2,2,10,2,3,50,597
10,10,10,2,2,10,2,3,250,598
10,10,10,2,2,10,2,3,1250,599
10,10,10,2,2,10,2,3,3500,600
10,10,10,2,2,10,3,1,50,601
10,10,10,2,2,10,3,1,250,602
10,10,10,2,2,10,3,1,1250,603
10,10,10,2,2,10,3,1,3500,604
10,10,10,2,2,10,3,2,50,605
10,10,10,2,2,10,3,2,250,606
10,10,10,2,2,10,3,2,1250,607
10,10,10,2,2,10,3,2,3500,608
10,10,10,2,2,10,3,3,50,609
10,10,10,2,2,10,3,3,250,610
10,10,10,2,2,10,3,3,1250,611
10,10,10,2,2,10,3,3,3500,612
10,10,10,2,2,30,1,1,50,613
10,10,10,2,2,30,1,1,250,614
10,10,10,2,2,30,1,1,1250,615
10,10,10,2,2,30,1,1,3500,616
10,10,10,2,2,30,1,2,50,617
10,10,10,2,2,30,1,2,250,618
10,10,10,2,2,30,1,2,1250,619
10,10,10,2,2,30,1,2,3500,620
10,10,10,2,2,30,1,3,50,621
10,10,10,2,2,30,1,3,250,622
10,10,10,2,2,30,1,3,1250,623
10,10,10,2,2,30,1,3,3500,624
10,10,10,2,2,30,2,1,50,625
10,10,10,2,2,30,2,1,250,626
10,10,10,2,2,30,2,1,1250,627
10,10,10,2,2,30,2,1,3500,628
10,10,10,2,2,30,2,2,50,629
10,10,10,2,2,30,2,2,250,630
